MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
60,65,8450,7,5,196,856,854,1710,2,1,3,1,8,0,2,548,0,61,208500
20,80,9600,6,8,0,1262,0,1262,2,0,3,1,6,1,2,460,298,0,181500
60,68,11250,7,5,162,920,866,1786,2,1,3,1,6,1,2,608,0,42,223500
70,60,9550,7,5,0,961,756,1717,1,0,3,1,7,1,3,642,0,35,140000
60,84,14260,8,5,350,1145,1053,2198,2,1,4,1,9,1,3,836,192,84,250000
50,85,14115,5,5,0,796,566,1362,1,1,1,1,5,0,2,480,40,30,143000
20,75,10084,8,5,186,1694,0,1694,2,0,3,1,7,1,2,636,255,57,307000
60,NA,10382,7,6,240,1107,983,2090,2,1,3,1,7,2,2,484,235,204,200000
50,51,6120,7,5,0,1022,752,1774,2,0,2,2,8,2,2,468,90,0,129900
190,50,7420,5,6,0,1077,0,1077,1,0,2,2,5,2,1,205,0,4,118000
20,70,11200,5,5,0,1040,0,1040,1,0,3,1,5,0,1,384,0,0,129500
60,85,11924,9,5,286,1182,1142,2324,3,0,4,1,11,2,3,736,147,21,345000
20,NA,12968,5,6,0,912,0,912,1,0,2,1,4,0,1,352,140,0,144000
20,91,10652,7,5,306,1494,0,1494,2,0,3,1,7,1,3,840,160,33,279500
20,NA,10920,6,5,212,1253,0,1253,1,1,2,1,5,1,1,352,0,213,157000
45,51,6120,7,8,0,854,0,854,1,0,2,1,5,0,2,576,48,112,132000
20,NA,11241,6,7,180,1004,0,1004,1,0,2,1,5,1,2,480,0,0,149000
90,72,10791,4,5,0,1296,0,1296,2,0,2,2,6,0,2,516,0,0,90000
20,66,13695,5,5,0,1114,0,1114,1,1,3,1,6,0,2,576,0,102,159000
20,70,7560,5,6,0,1339,0,1339,1,0,3,1,6,0,1,294,0,0,139000
60,101,14215,8,5,380,1158,1218,2376,3,1,4,1,9,1,3,853,240,154,325300
45,57,7449,7,7,0,1108,0,1108,1,0,3,1,6,1,1,280,0,0,139400
20,75,9742,8,5,281,1795,0,1795,2,0,3,1,7,1,2,534,171,159,230000
120,44,4224,5,7,0,1060,0,1060,1,0,3,1,6,1,2,572,100,110,129900
20,NA,8246,5,8,0,1060,0,1060,1,0,3,1,6,1,1,270,406,90,154000
20,110,14230,8,5,640,1600,0,1600,2,0,3,1,7,1,3,890,0,56,256300
20,60,7200,5,7,0,900,0,900,1,0,3,1,5,0,2,576,222,32,134800
20,98,11478,8,5,200,1704,0,1704,2,0,3,1,7,1,3,772,0,50,306000
20,47,16321,5,6,0,1600,0,1600,1,0,2,1,6,2,1,319,288,258,207500
30,60,6324,4,6,0,520,0,520,1,0,1,1,4,0,1,240,49,0,68500
70,50,8500,4,4,0,649,668,1317,1,0,3,1,6,0,1,250,0,54,40000
20,NA,8544,5,6,0,1228,0,1228,1,1,3,1,6,0,1,271,0,65,149350
20,85,11049,8,5,0,1234,0,1234,2,0,3,1,7,0,2,484,0,30,179900
20,70,10552,5,5,0,1700,0,1700,1,1,4,1,6,1,2,447,0,38,165500
120,60,7313,9,5,246,1561,0,1561,2,0,2,1,6,1,2,556,203,47,277500
60,108,13418,8,5,132,1132,1320,2452,3,1,4,1,9,1,3,691,113,32,309000
20,112,10859,5,5,0,1097,0,1097,1,1,3,1,6,0,2,672,392,64,145000
20,74,8532,5,6,650,1297,0,1297,1,0,3,1,5,1,2,498,0,0,153000
20,68,7922,5,7,0,1057,0,1057,1,0,3,1,5,0,1,246,0,52,109000
90,65,6040,4,5,0,1152,0,1152,2,0,2,2,6,0,0,0,0,0,82000
20,84,8658,6,5,101,1324,0,1324,2,0,3,1,6,1,2,440,0,138,160000
20,115,16905,5,6,0,1328,0,1328,1,1,2,1,5,2,1,308,0,104,170000
85,NA,9180,5,7,0,884,0,884,1,0,2,1,5,0,2,504,240,0,144000
20,NA,9200,5,6,0,938,0,938,1,0,3,1,5,0,1,308,145,0,130250
20,70,7945,5,6,0,1150,0,1150,1,0,3,1,6,0,1,300,0,0,141000
120,61,7658,9,5,412,1752,0,1752,2,0,2,1,6,1,2,576,196,82,319900
50,48,12822,7,5,0,1518,631,2149,1,1,1,1,6,1,2,670,168,43,239686
20,84,11096,8,5,0,1656,0,1656,2,0,3,1,7,0,3,826,0,146,249700
190,33,4456,4,5,0,736,716,1452,2,0,2,3,8,0,0,0,0,0,113000
20,66,7742,5,7,0,955,0,955,1,0,3,1,6,0,1,386,0,0,127000
60,NA,13869,6,6,0,794,676,1470,2,0,3,1,6,0,2,388,0,75,177000
50,52,6240,6,6,0,816,0,1176,1,0,3,1,6,1,2,528,112,0,114500
90,110,8472,5,5,0,816,0,816,1,0,2,1,5,0,2,516,106,0,110000
20,68,50271,9,5,0,1842,0,1842,0,1,0,1,5,1,3,894,857,72,385000
80,60,7134,5,5,0,1360,0,1360,1,0,3,1,6,1,2,572,0,50,130000
20,100,10175,6,5,272,1425,0,1425,2,0,3,1,7,1,2,576,0,0,180500
160,24,2645,8,5,456,983,756,1739,2,1,3,1,7,0,2,480,115,0,172500
60,89,11645,7,5,0,860,860,1720,2,1,3,1,7,0,2,565,0,70,196500
60,66,13682,10,5,1031,1426,1519,2945,3,1,3,1,10,1,3,641,192,0,438780
20,60,7200,5,7,0,780,0,780,1,0,2,1,4,0,1,352,196,0,124900
20,63,13072,6,5,0,1158,0,1158,1,1,3,1,5,0,2,576,0,50,158000
75,60,7200,5,7,0,581,530,1111,1,0,3,1,6,0,1,288,0,0,101000
120,44,6442,8,5,178,1370,0,1370,2,0,2,1,6,1,2,484,120,49,202500
70,50,10300,7,6,0,902,808,1710,2,0,3,1,9,0,2,480,12,11,140000
60,NA,9375,7,5,573,1057,977,2034,2,1,3,1,8,0,2,645,576,36,219500
60,76,9591,8,5,344,1143,1330,2473,2,1,4,1,9,1,3,852,192,151,317000
20,NA,19900,7,5,287,2207,0,2207,2,0,3,1,7,1,2,576,301,0,180000
20,72,10665,7,5,167,1479,0,1479,2,0,3,1,7,0,2,558,144,29,226000
30,47,4608,4,6,0,747,0,747,1,0,2,1,4,0,1,220,0,0,80000
50,81,15593,7,4,0,1304,983,2287,2,0,3,1,7,1,2,667,0,21,225000
20,95,13651,7,6,1115,2223,0,2223,2,0,3,1,8,2,2,516,300,0,244000
20,69,7599,4,6,0,845,0,845,1,0,2,1,4,0,2,360,0,0,129500
60,74,10141,7,5,40,885,833,1718,2,1,3,1,7,1,2,427,0,94,185000
20,85,10200,5,7,104,1086,0,1086,1,0,3,1,6,0,2,490,0,0,144900
50,60,5790,3,6,0,840,765,1605,2,0,3,2,8,0,1,379,0,0,107400
180,21,1596,4,5,0,526,462,988,1,0,2,1,5,0,1,297,120,101,91000
20,NA,8475,4,7,0,952,0,952,1,0,2,1,4,0,1,283,0,0,135750
50,50,8635,5,5,0,1072,213,1285,1,0,2,1,6,0,1,240,0,0,127000
90,72,10778,4,5,0,1768,0,1768,2,0,4,2,8,0,0,0,0,0,136500
50,60,10440,5,6,0,682,548,1230,1,1,2,1,5,0,2,440,74,0,110000
